party,text,year,manifesto
afd,ZEIT FÜR DEUTSCHLAND.,2025,afd_2025
afd,"Das vorliegende Wahlprogramm für die Bundestagswahl 2025 wurde auf dem  Bundesparteitag der Alternative für Deutschland vom  bis zum  Januar 2025 in Riesa beraten und einstimmig verabschiedet. 2 Zeit für Wohlstand SOZIALE MARKTWIRTSCHAFT UND GESUNDHEIT 10 Soziale Marktwirtschaft 10 Freies Unternehmertum und Wirtschaftsstandort stärken 10 Deutschland ist als Wirtschaftsstandort unattraktiv geworden 11 Vorrang für den Wettbewerb – für einen attraktiven Wirtschaftsstandort 13 Eigenverantwortung der Bürger stärken, Handlungsspielräume vergrößern 15 Unsere Bürger im Mehltau des linken Zeitgeistes 15 Unsere Maßnahmen für starke Bürger 16 Zweckentfremdung der Sozialversicherungen beenden 17 Unser Konzept für eine faire und auskömmliche Rentenversicherung 17 Die desolate Situation im deutschen Rentensystem 18 Unser Rentenkonzept gegen Altersarmut 18 Die Chancen des Kapitalmarktes nutzen 19 Einführung eines „Junior-Spardepots“ 19 Weitere Bausteine, die die Rente langfristig stabilisieren 20 Unser Konzept für eine faire Arbeitslosenversicherung 21 Unser Konzept einer zukunftssicheren Kranken- und Pflegeversicherung 21 Hilfe für alle, die sich nicht selbst helfen können 22 Unser Konzept für eine Grundsicherung für Arbeitssuchende 23 Das derzeitige Bürgergeld funktioniert nicht 23 Für eine funktionierende Grundsicherung für Arbeitssuchende 25 Unser Konzept für eine funktionierende Gesundheitspolitik 26 Die Leistungsfähigkeit der Krankenhäuser sicherstellen 26 Ambulante Versorgung verbessern 27 Ambulante und stationäre Versorgung sichern 27 Häusliche Pflege stärken 28 Arzneimittelversorgung gewährleisten 28 Corona aufarbeiten 29 WHO – Reform oder Austritt 29 Organspende 30 Geschlechtsidentität 30 Sterbehilfe 31 Cannabis 31 Impfpflicht 31 Heilpraktiker 32 Patientendaten und Telematik 32 INHALTSVERZEICHNIS 3 Personal aus dem Ausland – nur nach deutschen Standards 33 Entbürokratisierung des Gesundheitswesens 33 BAUEN, WOHNEN, INFRASTRUKTUR, ENERGIE, VERKEHR UND DIGITALES 36 Wir wollen ein Volk von Eigentümern werden 36 Wohn- und Baunebenkosten senken 36 Baurecht muss nationales Recht bleiben 36 Bestandsschutz 37 Mieter zu Eigentümern machen 37 Einheimische fördern 37 Mehr Wohngeld statt sozialem Wohnungsbau 37 Infrastruktur 38 Eine Infrastruktur für Deutschlands Zukunft 38 „Alles wieder zurück auf Start”: Kein erleichtertes Baurecht für großflächige Energieerzeugungsanlagen 39 Energiepolitik 40 Verkehr 42 Verkehrspolitik – ideologiefrei und bedarfsgerecht 42 Den motorisierten Individualverkehr schützen 42 Die deutsche Automobilindustrie als Leitindustrie erhalten 43 Bundesautobahnen entlasten – Transitverkehr auf Schiene und Wasserwege verlagern 44 Sicherer, sauberer und verlässlicher Schienenverkehr 44 Flugverkehr als Wirtschaftsfaktor stärken 45 Deutsche Seehäfen schützen 46 Digitalisierung 46 Analoges Leben 47 Datensammelkrake Staat und Social Scoring (Sozialbewertung) 47 Digitale Assistenzsysteme 47 Kampf gegen Desinformation 48 DSGVO 49 Digitale Souveränität 50 Künstliche Intelligenz 50 FINANZEN UND STEUERN 54 Bundeshaushalt konsolidieren, Steuerverschwendung beenden, Schuldenbremse einhalten 54 Konnexitätsprinzip einhalten 55 INHALTSVERZEICHNIS 4 Zuwendungen an Nichtregierungsorganisationen reduzieren 55 Wahre Kosten der Asylpolitik freilegen 55 Steuerfinanzierte Öffentlichkeitsarbeit der Regierung drastisch kürzen 56 Steuerrecht stark vereinfachen 56 Absenkung der Mehrwertsteuer für die Gastronomie auf 7 % 57 Abschaffung aller CO₂-Abgaben 57 Arbeit muss sich lohnen – Niedriglohnsektor und Mittelstand entlasten 57 Grundsteuer abschaffen und Steuerausfälle kompensieren 58 Familiensplitting einführen 58 Kein eigenes Besteuerungsrecht der Europäischen Union 59 Vermögen- und Erbschaftsteuer abschaffen 60 Erhöhung Sparerpauschbetrag 60 WÄHRUNGSPOLITIK – DAS EURO-SYSTEM SCHEITERT 61 Zurück zu Recht, Wohlstand und sozialem Frieden 61 Deutschland muss aus dem Euro-System austreten 61 Absicherung gegen die Eurokrise, Geldsystem reformieren und Staatsgold zurückholen 62 Beendigung der planwirtschaftlichen Politik der EU 63 Keine Schuldenaufnahme durch die EU: Kredite nur auf nationaler Ebene 64 Keine deutsche Haftung für ausländische Banken 65 Target-2-Risiko beenden 66 Bargeld ist Freiheit und Schutz vor Enteignung und Totalüberwachung 66 Recht auf analoges Leben: ohne Vermögensregister und Digitalen Euro 67 Bitcoin: Erhalt von Freiheit und Staatsferne 68 LANDWIRTSCHAFT, UMWELT UND KLIMA 72 Agrarpolitik in Deutschland entscheiden 73 Ländlicher Raum und Familienbetriebe 73 Verbraucherschutz 74 Düngung, Pflanzenschutz und Gentechnik 75 Tierschutz und Tierwohl 76 Klima 77 Umweltschutz statt Wind- und Solarausbau 80 Jagd, Artenschutz und Fischerei 81 Waldpflege und Forstwirtschaft 82 Gewässerschutz und Trinkwasserversorgung 83 INHALTSVERZEICHNIS 5 Zeit für Sicherheit ÄUSSERE SICHERHEIT 86 Außenpolitik muss Realpolitik in deutschem Interesse sein 86 Verteidigungspolitik – Wiederherstellung der Wehrfähigkeit Deutschlands 88 Zivilschutz in Deutschland ausbauen 89 Deutschland in Europa und der Welt 90 Eine neue Friedensordnung auf dem europäischen Kontinent 90 Das Verhältnis zu ausgewählten Staaten 91 Handelspolitik – Deutschland muss wirtschaftliche Stärken ausbauen 93 Auswärtige Kultur- und Bildungspolitik Deutschlands 94 Entwicklungspolitik neugestalten 95 ASYL- UND MIGRATIONSPOLITIK 100 Zuwanderung wieder national regeln 102 Asylparadies Deutschland schließen 103 Ökonomische Anreize senken 105 Deutschland braucht eine umfassende Rückführungsoffensive 106 Integration 108 Die deutsche Staatsangehörigkeit darf nicht verschenkt werden 110 Migration und Wohnungsmarkt 110 Maßvolle und ausgewählte Migration qualifizierter Fachkräfte 111 INNERE SICHERHEIT 116 Wirksame Bekämpfung der Kriminalität 116 Jugendstrafrecht 118 Stärkung der Polizei 118 Justiz, Strafvollstreckung und -vollzug verbessern 119 Waffenrecht überarbeiten 120 Gewalt und Extremismus entschieden bekämpfen 120 Gefährdung durch den islamistischen Terrorismus 121 Strafbarkeit der Forderung nach einem Kalifat 121 No-go-Areas und Parallelgesellschaften 122 Einer weiteren Ausbreitung des Islam treten wir entgegen 123 Grundrechte schützen 124 Polygamie, Zwangsheirat und Kinderehen 124 Körper- und Gesichtsbedeckung 125 Bundespolizei für nationalen Grenzschutz rüsten 125 INHALTSVERZEICHNIS 6 Zeit für Zusammenhalt DEMOKRATIE UND RECHTSSTAAT – DAS VOLK IST DER SOUVERÄN 128 Für eine Sicherung der Bürgerrechte 128 Supranationale Organisationen und die deutsche Souveränität 129 Volksabstimmungen nach Schweizer Vorbild 130 Grundrecht der Meinungsfreiheit – keine Zensur der öffentlichen Debatte 131 Bürgerlich-freiheitliche Rechtsordnung 132 Gewaltenteilung gewährleisten 134 Reform des Parlamentsrechts 134 Freie Listenwahl und freies Mandat 135 Die Selbstbedienung der Parteien beenden 136 Kampf der Parteibuchwirtschaft 136 Berufspolitikertum: Mandats- und Amtszeiten begrenzen 137 Lobbyismus kontrollieren 137 Entpolitisierung der Justiz 137 Verfassungsschutz grundsätzlich reformieren 138 Hinweisgeber (Whistleblower) schützen 138 Von der EU zu einem Bund Europäischer Nationen 139 FAMILIE UND DEMOGRAFIE 144 Starke Familien für eine starke Gesellschaft 145 Demografische Wende für Deutschlands Zukunft 146 Willkommenskultur für Kinder 148 Die zwei Geschlechter sind eine biologische Tatsache 150 Verantwortungsvolle Kinderbetreuung 152 Trennungsfolgen mindern 153 Inobhutnahmen einheitlich regeln und Familien schützen 154 BILDUNG, WISSENSCHAFT UND TECHNOLOGIEOFFENHEIT 158 Mut zur Leistung 158 Mehrgliedriges Schulsystem erhalten 158 Schulpflicht zur Bildungspflicht umwandeln 159 Wiedereinführen von Vorschulklassen 159 Förderschulen als Bildungschance erhalten 159 Meinungsvielfalt statt einseitiger Ideologie 160 Sinnvolle Digitalisierung 160 Disziplinarrechte der Lehrer und Schulen stärken 161 INHALTSVERZEICHNIS 7 Berufliche Bildung stärken: mehr Meister statt Master 161 Migration und Bildung 161 Einfluss des politischen Islam an Schulen konsequent unterbinden 162 Hochschulsystem und Wissenschaft 162 Bologna ist gescheitert: Diplom und Magister wiedereinführen 162 Autonomie der Hochschulen stärken: Freiheit von Forschung und Lehre bewahren 162 Forschung und Technik 164 Subventionen, Dirigismus und Halbleiterindustrie 164 Kerntechnik 165 Rohstoff- und Kreislaufwirtschaft 165 Gentechnik 166 Luft- und Raumfahrt 166 KULTUR UND MEDIENPOLITIK 170 Deutsche Leitkultur statt „Multikulturalismus“ 170 Brauchtum und Gedenken 170 Schutz der deutschen Sprache 172 Kulturförderung 172 Keine Umsatzsteuerpflicht für Musiker, Künstler und freie Pädagogen 173 Medienpolitik 173 GRUNDFUNK statt GEZ-Zwangsabgabe 173 Filmförderung 174 INHALTSVERZEICHNIS  ZEIT FÜR WOHLSTAND SOZIALE MARKTWIRTSCHAFT UND GESUNDHEIT 10 SOZIALE MARKTWIRTSCHAFT Wir stehen fest zu den Prinzipien der Sozialen Marktwirtschaft, die seit Jahrzehnten Wohlstand und sozialen Frieden in unserem Land sichern.",2025,afd_2025
afd,"Wir wollen in einer Zeit globaler Herausforderungen die Grundwerte unserer Wirtschaftsordnung bewahren und so weiterentwickeln, dass wir eine freiheitliche und erfolgreiche Gesellschaft gewährleisten, in der die Bürger ihr Leben eigenverantwortlich und selbstbestimmt führen können.",2025,afd_2025
afd,"Wir setzen uns für eine wettbewerbsfähige Wirtschaft ein, die Innovation und Unternehmertum fördert, Wohlstand für alle schafft und insbesondere dem Mittelstand neue Entfaltungsmöglichkeiten eröffnet.",2025,afd_2025
afd,"Wir treten dafür ein, dass Arbeitnehmer immer deutlich bessergestellt sind als Empfänger von Sozialleistungen.",2025,afd_2025
afd,Ihre Arbeit soll eine auskömmliche und sichere Rente gewährleisten.,2025,afd_2025
afd,"Wir tragen Sorge dafür, dass wirklich Bedürftige in den Grundsicherungssystemen aufgefangen werden.",2025,afd_2025
afd,Ein selbstgewähltes Leben auf Kosten der Allgemeinheit wird nicht gefördert.,2025,afd_2025
afd,Mit unseren Maßnahmen bringen wir wieder Optimismus und Zuversicht in die Gesellschaft.,2025,afd_2025
afd,"Viele Regelungen der EU schwächen Wirtschaft und Wettbewerb, statt sie zu stärken.",2025,afd_2025
